aaa_base.x86_64                                   84.87+git20240202.9526d46-1.1 @System
acl.x86_64                                        2.3.2-1.1                     @System
afterburn.x86_64                                  5.4.1-2.1                     @System
afterburn-dracut.x86_64                           5.4.1-2.1                     @System
alts.x86_64                                       1.2+30.a5431e9-1.4            @System
bash.x86_64                                       5.2.26-10.3                   @System
bash-sh.noarch                                    5.2.26-10.3                   @System
bc.x86_64                                         1.07.1-5.1                    @System
binutils.x86_64                                   2.42-2.1                      @System
boost-license1_84_0.noarch                        1.84.0-2.1                    @System
branding-openSUSE.noarch                          84.87.20230227-4.1            @System
btrfsprogs.x86_64                                 6.7.1-1.1                     @System
btrfsprogs-udev-rules.noarch                      6.7.1-1.1                     @System
busybox.x86_64                                    1.36.1-3.2                    @System
ca-certificates.noarch                            2+git20230406.2dae8b7-1.3     @System
ca-certificates-mozilla.noarch                    2.62-2.2                      @System
canokey-qemu.x86_64                               0.0+git20230606.151568c-2.2   @System
checkmedia.x86_64                                 6.2-1.5                       @System
chkstat.x86_64                                    1699_20240206-1.1             @System
coreutils.x86_64                                  9.4-4.1                       @System
cpio.x86_64                                       2.15-1.1                      @System
cracklib.x86_64                                   2.9.11-1.3                    @System
cracklib-dict-small.x86_64                        2.9.11-1.3                    @System
crypto-policies.noarch                            20230920.570ea89-3.1          @System
cryptsetup.x86_64                                 2.7.0-1.3                     @System
curl.x86_64                                       8.6.0-2.1                     @System
dbus-1.x86_64                                     1.14.10-2.2                   @System
dbus-1-common.noarch                              1.14.10-2.2                   @System
dbus-1-daemon.x86_64                              1.14.10-2.2                   @System
dbus-1-tools.x86_64                               1.14.10-2.2                   @System
deltarpm.x86_64                                   3.6.3-2.9                     @System
device-mapper.x86_64                              2.03.22_1.02.196-1.2          @System
dialog.x86_64                                     1.3-11.2                      @System
diffutils.x86_64                                  3.10-1.6                      @System
dmraid.x86_64                                     1.0.0.rc16.3-2.6              @System
dnf.noarch                                        4.18.0-4.2                    @System
dnf-data.noarch                                   4.18.0-4.2                    @System
dosfstools.x86_64                                 4.2-4.5                       @System
dracut.x86_64                                     059+suse.554.g6144bf71-1.1    @System
dracut-extra.x86_64                               059+suse.554.g6144bf71-1.1    @System
dracut-fips.x86_64                                059+suse.554.g6144bf71-1.1    @System
dracut-ima.x86_64                                 059+suse.554.g6144bf71-1.1    @System
dracut-kiwi-lib.x86_64                            9.25.19-2.2                   @System
dracut-kiwi-live.x86_64                           9.25.19-2.2                   @System
dracut-kiwi-oem-dump.x86_64                       9.25.19-2.2                   @System
dracut-kiwi-oem-repart.x86_64                     9.25.19-2.2                   @System
dracut-sshd.noarch                                0.6.1-2.10                    @System
dracut-tools.x86_64                               059+suse.554.g6144bf71-1.1    @System
dracut-transactional-update.noarch                4.5.0-2.3                     @System
e2fsprogs.x86_64                                  1.47.0-4.1                    @System
elfutils.x86_64                                   0.190-1.2                     @System
evmctl.x86_64                                     1.5-2.2                       @System
